Name,Price,CPU,RAM,Storage,Retailer,RAM_GB,Storage_GB,TextFeatures,Cluster
"Samsung Galaxy Book4 Core7-150U/16/512/IPS/WPRO 15.6"" bärbar dator (grå)",10995.0,Intel® Core™ 7-150U processor,"16GB LPDDR4X RAM, 512GB M.2 SSD",,Elgiganten,16.0,16.0,Intel® Core™ 7-150U processor,6.0
Samsung Galaxy Book4 Edge 14 Snap-12C/16/512/AMOLED Copilot+ PC,17999.0,unknown_cpu,"16GB LPDDR5X RAM, 512GB M.2 SSD",,Elgiganten,16.0,16.0,unknown_cpu,3.0
Samsung Galaxy Book4 Edge 16 Snap-12CPro/16/1024/AMOLED Copilot+ PC,24990.0,unknown_cpu,"16GB LPDDR5X RAM, 1024GB M.2 SSD",,Elgiganten,16.0,16.0,unknown_cpu,3.0
"Samsung Galaxy Book4 Edge X1P/16/256 15.6"" Copilot+ PC",8995.0,unknown_cpu,"16 GB LPDDR5X RAM, 256 GB lagring",,Elgiganten,16.0,16.0,unknown_cpu,3.0
"Samsung Galaxy Book4 i3-1315U/8/256/IPS 15.6"" bärbar dator (grå)",7995.0,Intel® Core™ i3-1315U processor,"8GB LPDDR4X RAM, 256GB M.2 SSD",,Elgiganten,8.0,8.0,Intel® Core™ i3-1315U processor,6.0
"Samsung Galaxy Book4 i3-1315U/8/256/IPS 15.6"" bärbar dator (silver)",8995.0,Intel® Core™ i3-1315U processor,"8GB LPDDR4X RAM, 256GB M.2 SSD",,Elgiganten,8.0,8.0,Intel® Core™ i3-1315U processor,6.0
"Samsung Galaxy Book4 i7-1355U/16/512/IPS 15.6"" bärbar dator (grå)",10996.0,Intel® Core™ i7-1355U processor,"16GB LPDDR4X RAM, 512GB M.2 SSD",,Elgiganten,16.0,16.0,Intel® Core™ i7-1355U processor,6.0
"Samsung Galaxy Book5 360  U7/16/1024 15.6"" Copilot+ PC",21990.0,Intel Core Ultra 7 256V processor,"16 GB LPDDR5X RAM, 1 TB M.2 SSD",,Elgiganten,16.0,16384.0,Intel Core Ultra 7 256V processor,1.0
"Samsung Galaxy Book5 Pro U7-258V/32/512 14"" Copilot+ PC",14995.0,Intel Core Ultra 7-258V processor,"32GB LPDDR5X RAM, 512GB M.2 SSD",,Elgiganten,32.0,32.0,Intel Core Ultra 7-258V processor,1.0
"Asus Zenbook A14 UX3407QA 14"" WUXGA OLED (grey)",13990.0,unknown_cpu,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,unknown_cpu,3.0
"OMEN Transcend Laptop 14-fb0015no 14"" 2,8K OLED 120 Hz",22990.0,Core Ultra 7 155H,16 GB RAM,1 TB SSD,Komplett,16.0,1024.0,Core Ultra 7 155H,1.0
Macbook Air 15 (2024) 512GB (stjärnglans),18490.0,Apple 10-Core GPU,8GB RAM,512GB  SSD,Komplett,8.0,512.0,Apple 10-Core GPU,9.0
"Lenovo Ideapad Slim 3 14"" FHD (arctic grey)",8990.0,Core i5-12450H,16 GB RAM,1 TB SSD,Komplett,16.0,1024.0,Core i5-12450H,6.0
"Lenovo Ideapad Slim 3 14"" FHD (arctic grey)",8990.0,Core i5-12450H,16 GB RAM,1 TB SSD,Komplett,16.0,1024.0,Core i5-12450H,6.0
"Lenovo Ideapad Slim 5 15"" WQXGA OLED",9990.0,Ryzen 7 7735HS,16 GB RAM,1 TB SSD,Komplett,16.0,1024.0,Ryzen 7 7735HS,8.0
"Lenovo IdeaPad 1 15,6"" FHD",4490.0,unknown_cpu,4 GB RAM,128 GB SSD,Komplett,4.0,128.0,unknown_cpu,3.0
"Lenovo IdeaPad 1 15,6"" FHD",4490.0,unknown_cpu,4 GB RAM,128 GB SSD,Komplett,4.0,128.0,unknown_cpu,8.0
"Lenovo Yoga 7 14"" WUXGA OLED Touch",12490.0,Core Ultra 5 125H,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Core Ultra 5 125H,9.0
"Lenovo IdeaPad Slim 3 Chrome Plus 14"" FHD med Google AI",5490.0,Core i3-N305,8 GB RAM,128 GB SSD,Komplett,8.0,128.0,Core i3-N305,6.0
"Asus Chromebook Plus CX34 14"" FHD Touch (vit)",5490.0,Core i3-1315U,8 GB RAM,256 GB SSD UFS,Komplett,8.0,256.0,Core i3-1315U,6.0
"MSI Stealth A16 AI+ 16"" QHD+",39990.0,Ryzen AI 9 HX 370,32 GB RAM,2 TB SSD,Komplett,32.0,2048.0,Ryzen AI 9 HX 370,7.0
"MSI Sword 16 HX B14 16"" QHD+",17990.0,Core i7-14650HX,16 GB RAM,1 TB SSD,Komplett,16.0,1024.0,Core i7-14650HX,9.0
"MSI Vector 16 HX AI 16"" FHD+",24990.0,Core Ultra 7 255HX,16 GB RAM,1 TB SSD,Komplett,16.0,1024.0,Core Ultra 7 255HX,1.0
"Acer Aspire 3 14"" FHD",5490.0,Ryzen 7 5700U,8 GB RAM,512 GB SSD,Komplett,8.0,512.0,Ryzen 7 5700U,8.0
"Asus Zenbook A14 UX3407RA 14"" WUXGA OLED",18990.0,unknown_cpu,32 GB RAM,1 TB SSD,Komplett,32.0,1024.0,unknown_cpu,3.0
"Lenovo ThinkBook 14 G7 14"" WUXGA",12488.0,Core U7-155U,16GB RAM,512GB SSD,Komplett,16.0,512.0,Core U7-155U,9.0
"Lenovo ThinkBook 14 G7 14"" WUXGA",12488.0,Core U7-155U,16GB RAM,512GB SSD,Komplett,16.0,512.0,Core U7-155U,8.0
"Lenovo ThinkBook 14 G7 14"" WUXGA",12488.0,Core U7-155U,16GB RAM,512GB SSD,Komplett,16.0,512.0,Core U7-155U,9.0
"Lenovo V14 G4 14"" Full HD",6863.0,Ryzen 5 7520U,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Ryzen 5 7520U,8.0
