Name,Price,CPU,RAM,Storage,GPU,Retailer,RAM_GB,Storage_GB,TextFeatures,Cluster
"HP Laptop 17-cp2826no 17 R5-7520U/16/512/IPS 17.3"" bärbar dator",7995,AMD Ryzen™ 5 7520U processor,"16 GB LPDDR5 RAM, 512 GB SSD",,unknown_gpu,Elgiganten,16.0,16.0,AMD Ryzen™ 5 7520U processor unknown_gpu,7.0
HP Laptop 17-cp2829no R5-7520U/8/512GB bärbar dator,7996,AMD Ryzen 5 7520U processor,"8GB LPDDR5 RAM, 512GB SSD",,unknown_gpu,Elgiganten,8.0,8.0,AMD Ryzen 5 7520U processor unknown_gpu,7.0
"HP Laptop 17-cp3845no R7-7730U /16/512/IPS 17.3"" bärbar dator",8995,AMD Ryzen™ 7 7730U processor,"16 GB DDR4 RAM, 512 GB SSD",,unknown_gpu,Elgiganten,16.0,16.0,AMD Ryzen™ 7 7730U processor unknown_gpu,7.0
"HP Laptop i3/8/128 15.6"" bärbar dator",6995,Intel® Core™ i3-N305 processor,"8GB DDR4 RAM, 128GB UFS",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core™ i3-N305 processor unknown_gpu,3.0
"HP Laptop R3/8/128 15.6"" bärbar dator",6996,AMD Ryzen™ 3 7320U Processor,"8 GB DDR5 RAM, 128 GB SSD",,unknown_gpu,Elgiganten,8.0,8.0,AMD Ryzen™ 3 7320U Processor unknown_gpu,7.0
"HP Laptop R5/8/512 15.6"" bärbar dator",5490,AMD Ryzen™ 5 7520U Processor,"8 GB DDR5 RAM, 512 GB SSD",,unknown_gpu,Elgiganten,8.0,8.0,AMD Ryzen™ 5 7520U Processor unknown_gpu,7.0
"HP OmniBook 3 14"" bärbar dator AI 5 340/16/512",8990,AMD Ryzen™ AI 5 340 processor,"16 GB LPDDR5X RAM, 512 GB M.2 SSD",,unknown_gpu,Elgiganten,16.0,16.0,AMD Ryzen™ AI 5 340 processor unknown_gpu,7.0
"HP OmniBook 3 14"" bärbar dator AI 5 340/24/1024",9995,AMD Ryzen™ AI 5 340 processor,"24 GB LPDDR5X RAM, 512 GB M.2 SSD",,unknown_gpu,Elgiganten,24.0,24.0,AMD Ryzen™ AI 5 340 processor unknown_gpu,7.0
"HP OmniBook 5 14 Snap-8C/16/512/OLED 14"" Copilot+ PC",9995,unknown_cpu,16GB LPDDR5X RAM; 512GB SSD,,unknown_gpu,Elgiganten,16.0,16.0,unknown_cpu unknown_gpu,0.0
"HP OmniBook Ultra 14 AI 9-365/16/512/IPS 14"" Copilot+ PC",16995,AMD Ryzen™ AI 9 365 processor,"16GB LPDDR5X RAM, 512GB M.2 SSD",,unknown_gpu,Elgiganten,16.0,16.0,AMD Ryzen™ AI 9 365 processor unknown_gpu,7.0
"HP OmniBook X 14 Snap-12C/16/1024 14"" Copilot+ PC",12990,unknown_cpu,"16GB LPDDR5X RAM, 1024GB M.2 SSD",,unknown_gpu,Elgiganten,16.0,16.0,unknown_cpu unknown_gpu,0.0
"HP OmniBook X Flip 14 Ultra 5-226V/16/512/OLED 14"" Copilot+ PC",11995,Intel® Core™ Ultra 5 226V processor,"16GB LPDDR5X RAM, 512GB M.2 SSD",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ Ultra 5 226V processor unknown_gpu,7.0
